id;tempo
357079113;480
357366105;480
357366106;480
357366113;480
319138609;480
357366111;480
319138601;480
357172933;345
357172910;240
377279405;240
377277732;240
377283818;240
377323602;240
357252606;240
357225321;240
357225317;240
357225304;240
357225315;240
377307423;240
357252630;240
357172918;240
357172901;240
357172902;240
357172903;240
357172904;240
357172905;240
357172907;240
357172909;240
357172911;240
357172912;240
357172913;240
357172915;240
357172916;240
357172919;240
357172920;240
357172922;240
357172923;240
357172924;240
357172925;240
357172926;240
357172927;240
357172928;240
357172929;240
357172930;240
357172931;240
357172932;240
357225303;240
357225305;240
357225308;240
357225313;240
357225314;240
357225316;240
357225318;240
357225319;240
357225320;240
357225322;240
357225325;240
357225326;240
357225403;240
357225404;240
357225417;240
357225418;240
357225425;240
357225427;240
357228214;240
357228216;240
357252632;240
357252603;240
357252604;240
357252607;240
357252611;240
357252612;240
357252626;240
357252628;240
357252629;240
357252631;240
357335508;240
357368204;240
357368205;240
357368210;240
357368212;240
357402903;240
357454801;240
357454802;240
357454803;240
357454804;240
357454805;240
357454806;240
364061506;240
364091106;240
364109901;240
364109902;240
377179202;240
377222639;240
377231302;240
377274804;240
377277715;240
377277721;240
377277745;240
377278607;240
377283802;240
377283806;240
377283821;240
377283824;240
377283827;240
377283830;240
377283834;240
377285402;240
377285407;240
377288007;240
377296502;240
377302563;240
377302567;240
377303315;240
377305014;240
377305021;240
377305025;240
377305029;240
377308602;240
377313424;240
377314902;240
357411805;240
357413105;240
377307423;240
377283846;240
377307427;210
377307422;210
357242839;210
377307412;210
326014708;185
313308806;181
357345005;140
357345001;140
326014710;110
376057701;100
357225302;83
357225307;83
357225310;83
357225301;83
357225312;83
326014703;83
357225311;83
357225323;83
357225324;83
357225327;83
357225328;83
357225329;83
357225330;83
357225401;83
357225402;83
357225423;83
357225424;83
357225426;83
357233501;83
357252601;83
357252602;83
357252609;83
377275302;83
357225331;83
355197601;80
377283719;80
355197608;80
377285202;80
355173709;80
355197602;80
377283735;80
355199002;80
355199003;80
357225405;75
355121101;75
355121105;75
355121108;75
355121107;75
355140601;75
355121110;75
357225414;75
357172027;75
355121103;75
377310505;75
355213102;75
355121111;74
357230601;62
357230602;62
357230603;62
357230610;62
357230611;62
357228103;56
357228209;56
357228206;56
357228207;56
357228211;56
377276902;56
357228001;56
357228003;56
357228001;56
357228003;56
357228004;56
357228102;56
357228105;56
357228107;56
357228109;56
357228110;56
357228202;56
357228203;56
357228205;56
357228217;56
357228301;56
357228303;56
357228307;56
357228311;56
357340402;56
357368202;56
357368211;56
357228106;56
331388003;45
381489306;45
331388002;45
331388001;45
357056003;45
357056002;45
357056004;45
359043430;45
376034618;36
376062303;36
376062403;36
376062401;36
376062418;36
376062210;36
376062402;36
376034601;36
376038608;36
376038606;36
376062202;36
376034626;36
376034616;36
376038603;36
376062211;36
381489307;30
331202704;30
376062301;30
376062302;30
376062314;30
357454201;25
357454202;25
357454203;25
331097708;22
331097707;22
331097702;22
357056008;21
357011321;20
357011322;20
313177006;15
313177016;15
313177012;15
313257103;15
331202502;15
331202501;15
350022010;15
350022009;15
313177003;15
313177010;15
359043408;12
359043413;12
359064101;12
376075302;12
376072306;12
376072303;12
376072302;12
376072301;12
376072309;12
376075306;12
376075206;12
359043474;12
376075304;12
376075203;12
376075303;12
359043422;10
382211401;10
313918601;10
313918602;10
376075202;10
313308802;9
313308801;9
376075204;9
313308803;9
368157201;8
313353407;8
313353408;8
313423103;8
313353402;8
313353401;8
313177015;8
313177009;8
313257107;8
313423101;8
313423102;8
313257101;8
313177004;8
313782301;8
313177014;8
313177017;8
313353411;8
313353412;8
313353418;8
313353417;8
313423104;7
313359203;5
357011317;4
357011318;4
313863402;4
313863401;4
368157001;4
313924804;4
313924803;4
313924802;4
313924801;4
313353403;4
313353404;4
313918613;4
313800402;4
313918614;4
326012901;3
326012902;3
357188803;2
357188804;2
313209010;2
313209009;2
359043453;2
313249801;1
313863402;1
313863401;1
